Ma_vai,Ten_hang,So_luong,Vi_tri,Ghi_chu
8000,8000 W140cm,170.0,T4 F1,Có trong CSV nhưng không có trong Excel
8059,Vải 8059 Khổ 280cm,36.7,T4 giữa A-B (phía ngoài),Có trong CSV nhưng không có trong Excel
